,id,title,director,actor,genre,story,platform,thumb,year,age,similar_content1,similar_content2,similar_content3,link
0,1,모범택시2,이단,"이제훈, 김의성, 표예진, 장혁진, 배유람, 신재하","액션, 코미디, 스릴러 ","[매주 금, 토 방송 후 공개]

정의가 실종된 사회, 전화 한 통이면 오케이. 베일에 가려진 택시회사 무지개 운수와 택시기사 김도기가 억울한 피해자를 대신해 복수를 완성하는 사적 복수 대행극",쿠팡플레이,https://img.coupangstreaming.com/titles/d2fe49d3-3df6-4a59-b8a6-3ad9cfe2a205/poster/053e2f31-7141-4dd9-8d3f-0c0758be0120.jpeg?imwidth=350&imscalingMode=aspectFit,2023,15세 이용가,https://img.coupangstreaming.com/titles/8b87b519-d567-4265-a080-5fcca0b188f3/background/56b1de81-a838-4331-94e4-ba3b58068c10.jpeg?imwidth=350&imscalingMode=aspectFit,https://img.coupangstreaming.com/titles/132d4bc5-da29-4fda-b6dc-8f86908c2261/background/901be172-0bf7-4748-abed-63fc6b837ac3.jpeg?imwidth=350&imscalingMode=aspectFit,https://img.coupangstreaming.com/titles/26d88aef-c657-456b-9c72-3046e4d6fd6d/background/416a8397-fb3a-4085-96c3-f723a8fccd78.jpg?imwidth=350&imscalingMode=aspectFit,https://www.coupangplay.com/titles/d2fe49d3-3df6-4a59-b8a6-3ad9cfe2a205?type=TVSHOW&availability=SVOD&live=&channel=&rowId=c8c71149-4c7a-41df-b412-0431658460e4&trackId=&src=page_discover_feed%3ATOP-TITLES%3ATVSHOWS&sourceType=&supportLive=
1,2,SNL 코리아,"안상휘, 유성모, 권성욱, 김민","신동엽, 안영미, 정상훈, 김민교, 정성호, 정이랑, 권혁수, 이수지, 주현영, 정혁, 김원훈, 김아영, 지예은, 남현우","예능, 코미디 ","브레이크 없는 고품격 풍자, 초특급 웃음
SNL 코리아, 오직 쿠팡플레이에서",쿠팡플레이,https://img.coupangstreaming.com/titles/fb2bb8b0-a544-4be1-8489-83cb38adad05/poster/119234b5-d4d0-4638-b4b0-3b9c90701f66.jpeg?imwidth=350&imscalingMode=aspectFit,2022,18세 이용가,https://img.coupangstreaming.com/titles/6f8d8257-7db3-4e42-9b25-dd7f104def74/background/59e3ae08-2598-4a7f-ba57-2a34f86b0b1c.jpeg?imwidth=350&imscalingMode=aspectFit,https://img.coupangstreaming.com/titles/93fe22e9-9aa8-4080-b344-faa26bb1ee6c/background/e5807692-d842-46b2-b96f-fb8289f59bbc.jpeg?imwidth=350&imscalingMode=aspectFit,https://img.coupangstreaming.com/titles/ef8df325-32a7-4bd3-b715-107f29fdd98f/background/4a1fbf02-b84a-4a11-ad6e-41a289f6697b.jpeg?imwidth=350&imscalingMode=aspectFit,https://www.coupangplay.com/titles/fb2bb8b0-a544-4be1-8489-83cb38adad05?type=TVSHOW&availability=SVOD&live=&channel=&rowId=c8c71149-4c7a-41df-b412-0431658460e4&trackId=&src=page_discover_feed%3ATOP-TITLES%3ATVSHOWS&sourceType=&supportLive=
2,3,무한도전,김태호,"유재석, 박명수, 노홍철, 정준하, 정형돈, 하하, 길, 전진, 양세형, 조세호, 황광희",예능 ,대한민국 평균 이하임을 자처하는 남자들이 매주 새로운 상황 속에서 펼치는 좌충우돌 도전기,쿠팡플레이,https://img.coupangstreaming.com/titles/ef8df325-32a7-4bd3-b715-107f29fdd98f/poster/e7c0e7b1-736c-42ed-ba54-95cca125c201.jpeg?imwidth=350&imscalingMode=aspectFit,2006,12세 이용가,https://img.coupangstreaming.com/titles/7e3e6939-b964-4cc4-846a-c49d1ba42c50/background/c7e6e64f-93f1-4a0b-83e0-8e392fb51763.jpeg?imwidth=350&imscalingMode=aspectFit,https://img.coupangstreaming.com/titles/35999344-3bc0-40f2-809f-da76a2e5008f/background/21238a6e-b1c0-46d1-953a-c3b4190233b8.jpeg?imwidth=350&imscalingMode=aspectFit,https://img.coupangstreaming.com/titles/59c6e4ac-58ff-4f79-af9b-d3e4f50410a6/background/21e753cb-9ba3-4e26-a0f1-d3d432164e13.jpeg?imwidth=350&imscalingMode=aspectFit,https://www.coupangplay.com/titles/ef8df325-32a7-4bd3-b715-107f29fdd98f?type=TVSHOW&availability=SVOD&live=&channel=&rowId=c8c71149-4c7a-41df-b412-0431658460e4&trackId=&src=page_discover_feed%3ATOP-TITLES%3ATVSHOWS&sourceType=&supportLive=
3,4,나는 솔로,"남규홍, 나상원, 백정훈","데프콘, 송해나, 이이경",예능 ,"[매주 수요일 밤 방송 직후 공개]

결혼을 간절히 원하는 솔로 남녀들이 모여 사랑을 찾기 위해 고군분투하는 극사실주의 데이팅 프로그램",쿠팡플레이,https://img.coupangstreaming.com/titles/aafafdbe-67d6-4335-a456-0997f00364f9/poster/5778af70-130b-4935-8c35-b2279fe29fd8.jpeg?imwidth=350&imscalingMode=aspectFit,2021,15세 이용가,https://img.coupangstreaming.com/titles/490c0bc8-b0d9-43b8-bbf8-eeba6d65292b/background/4619c313-46f3-4c4a-90e0-6e81fd885e34.jpeg?imwidth=350&imscalingMode=aspectFit,https://img.coupangstreaming.com/titles/59c6e4ac-58ff-4f79-af9b-d3e4f50410a6/background/21e753cb-9ba3-4e26-a0f1-d3d432164e13.jpeg?imwidth=350&imscalingMode=aspectFit,https://img.coupangstreaming.com/titles/ef8df325-32a7-4bd3-b715-107f29fdd98f/background/4a1fbf02-b84a-4a11-ad6e-41a289f6697b.jpeg?imwidth=350&imscalingMode=aspectFit,https://www.coupangplay.com/titles/aafafdbe-67d6-4335-a456-0997f00364f9?type=TVSHOW&availability=SVOD&live=&channel=&rowId=c8c71149-4c7a-41df-b412-0431658460e4&trackId=&src=page_discover_feed%3ATOP-TITLES%3ATVSHOWS&sourceType=&supportLive=
4,5,프렌즈,"마타 카우프만, 데이비드 크레인","제니퍼 애니스톤, 커트니 콕스, 리사 쿠드로, 맷 르블랑, 매튜 페리, 데이빗 쉼머","시트콤, 코미디, 로맨스 ","모든 가능성이 열려 있는 도시 뉴욕. 이곳에 여섯 명의 청춘들이 있다. 다이내믹 한 일상도 어디로 튈지 모르는 내 인생도 친구들과 함께라면 걱정 없다. 어떤 일이 벌어지든 함께 일 테니. 오늘도 카페에 모여 앉아있는 친구들. 잠깐, 또 무슨 일이 벌어질 것 같은데.

[한/영 자막 지원]",쿠팡플레이,https://img.coupangstreaming.com/titles/65c0c0a9-c2eb-4016-ab42-e26f0426fdb6/poster/34aa95f6-0765-4d37-8133-b9fe5d86fe43.jpeg?imwidth=350&imscalingMode=aspectFit,2003,15세 이용가,https://img.coupangstreaming.com/titles/a7d773e1-d241-4e56-9c5e-83fbb2faac93/background/6a4022c9-b410-42b6-b3f1-b9afffe5ca4a.jpeg?imwidth=350&imscalingMode=aspectFit,https://img.coupangstreaming.com/titles/cc9e3a09-49d1-4608-ba7e-6ece3d8d577c/background/5f4c28ef-26b0-4ddb-ba8e-f110c104292c.jpeg?imwidth=350&imscalingMode=aspectFit,https://img.coupangstreaming.com/titles/d2b3f891-34ce-4d04-9a89-c85985cfc8f0/background/0466aa1b-471e-405e-9d1e-bb8ceccdc67c.jpeg?imwidth=350&imscalingMode=aspectFit,https://www.coupangplay.com/titles/65c0c0a9-c2eb-4016-ab42-e26f0426fdb6?type=TVSHOW&availability=SVOD&live=&channel=&rowId=c8c71149-4c7a-41df-b412-0431658460e4&trackId=&src=page_discover_feed%3ATOP-TITLES%3ATVSHOWS&sourceType=&supportLive=
5,6,낭만닥터 김사부,"유인식, 박수진","한석규, 유연석, 서현진, 김홍파, 진경, 임원희, 변우민, 서은수, 김민재, 최진호, 양세종, 장혁진, 주현","드라마, 의학 ","한 때 신의 손, 지금은 스스로를 낭만닥터라 칭하며 은둔생활을 즐기고 있는 괴짜 의사 김사부. 지방의 초라한 돌담병원에 정착하여 평화롭고 행복한 생활을 보내고 있을 때 강동주와 윤서정을 만나게 된다.",쿠팡플레이,https://img.coupangstreaming.com/titles/b98a3726-6ee4-49af-be87-9c20a44a6dd0/poster/300cd50d-3ddc-4e95-a24b-b1b18e082823.jpg?imwidth=350&imscalingMode=aspectFit,2016,15세 이용가,https://img.coupangstreaming.com/titles/1315722b-7734-4842-81e4-a8ab82540f44/background/5b82cf3e-5c35-41cb-aa48-2862eb4e2001.jpeg?imwidth=350&imscalingMode=aspectFit,https://img.coupangstreaming.com/titles/5bda983d-1fb5-406f-a4c3-47bf3e330315/background/bfd814d0-7040-4256-bf9a-36953ca3eabb.jpeg?imwidth=350&imscalingMode=aspectFit,https://img.coupangstreaming.com/titles/99c6f0d3-9db9-458e-9456-61c6197f6f1a/background/e642f449-c46a-40a1-916d-44094e2f879a.jpeg?imwidth=350&imscalingMode=aspectFit,https://www.coupangplay.com/titles/b98a3726-6ee4-49af-be87-9c20a44a6dd0?type=TVSHOW&availability=SVOD&live=&channel=&rowId=c8c71149-4c7a-41df-b412-0431658460e4&trackId=&src=page_discover_feed%3ATOP-TITLES%3ATVSHOWS&sourceType=&supportLive=
6,7,거침없이 하이킥,"김병욱, 김창동, 김영기","이순재, 나문희, 박해미, 정준하, 김혜성, 정일우, 최민용, 신지, 서민정, 박민영, 김범",시트콤 ,3대가 모여 사는 가족의 일상을 코믹하게 다룬 시트콤,쿠팡플레이,https://img.coupangstreaming.com/titles/a8c3def6-1a70-41a7-8f36-f9b5d494937b/poster/519acfc0-56e2-42ce-abd1-6ade84441807.jpeg?imwidth=350&imscalingMode=aspectFit,2006,12세 이용가,https://img.coupangstreaming.com/titles/6aa75233-b49c-498c-b0e7-02ede15b307f/background/1b19fbf1-f210-40f2-8832-fff85eac01ad.jpeg?imwidth=350&imscalingMode=aspectFit,https://img.coupangstreaming.com/titles/b5f663f8-becb-4139-97f1-6d811adfb515/background/ac064753-5158-461d-a326-1fedba87813a.jpg?imwidth=350&imscalingMode=aspectFit,https://img.coupangstreaming.com/titles/65c0c0a9-c2eb-4016-ab42-e26f0426fdb6/background/af1c5409-70be-4cdc-a229-670af8da0009.jpeg?imwidth=350&imscalingMode=aspectFit,https://www.coupangplay.com/titles/a8c3def6-1a70-41a7-8f36-f9b5d494937b?type=TVSHOW&availability=SVOD&live=&channel=&rowId=c8c71149-4c7a-41df-b412-0431658460e4&trackId=&src=page_discover_feed%3ATOP-TITLES%3ATVSHOWS&sourceType=&supportLive=
7,8,빅뱅이론,감독 정보 없음,"짐 파슨스, 자니 갈렉키, 케일리 쿠오코, 사이먼 헬버그, 쿠널 나이어, 마임 비아릭, 멜리사 로치, 케빈 서스만, 사라 길버트","코미디, 시트콤, 드라마 ",괴짜인 네명의 과학도와 금발 미녀의 이야기를 그린 코믹 시트콤,쿠팡플레이,https://img.coupangstreaming.com/titles/a7d773e1-d241-4e56-9c5e-83fbb2faac93/poster/933e7739-3639-4fe2-8e98-c0685677818d.jpeg?imwidth=350&imscalingMode=aspectFit,2007,12세 이용가,https://img.coupangstreaming.com/titles/cc9e3a09-49d1-4608-ba7e-6ece3d8d577c/background/5f4c28ef-26b0-4ddb-ba8e-f110c104292c.jpeg?imwidth=350&imscalingMode=aspectFit,https://img.coupangstreaming.com/titles/65c0c0a9-c2eb-4016-ab42-e26f0426fdb6/background/af1c5409-70be-4cdc-a229-670af8da0009.jpeg?imwidth=350&imscalingMode=aspectFit,https://img.coupangstreaming.com/titles/d2b3f891-34ce-4d04-9a89-c85985cfc8f0/background/0466aa1b-471e-405e-9d1e-bb8ceccdc67c.jpeg?imwidth=350&imscalingMode=aspectFit,https://www.coupangplay.com/titles/a7d773e1-d241-4e56-9c5e-83fbb2faac93?type=TVSHOW&availability=SVOD&live=&channel=&rowId=c8c71149-4c7a-41df-b412-0431658460e4&trackId=&src=page_discover_feed%3ATOP-TITLES%3ATVSHOWS&sourceType=&supportLive=
8,9,미끼,김홍선,"장근석, 허성태, 이엘리야","범죄, 스릴러, 드라마 ","[파트2: 4월 7일 공개 예정]

살인 사건의 용의자로 8년 전 사망한 희대의 사기꾼이 지목된다. 다시 떠오른 유사 이래 최대 사기 사건, 그 중심에 있었던 세 사람의 이야기",쿠팡플레이,https://img.coupangstreaming.com/titles/08bbb644-cdb7-47ac-84f6-c5510fa5745c/poster/4de768bb-8df2-42a8-a74f-d6c5eca3380e.jpeg?imwidth=350&imscalingMode=aspectFit,2023,15세 이용가,https://img.coupangstreaming.com/titles/17f0497d-1cb7-4696-aac5-8ff898d28ae1/background/e3d806ad-ee0d-487a-8e64-c3da9afa7ea5.jpeg?imwidth=350&imscalingMode=aspectFit,https://img.coupangstreaming.com/titles/6b314c05-a98b-4754-9645-c08ca63fae80/background/068ba84d-7f28-42f9-8ad1-ab1e3f6d0b66.jpeg?imwidth=350&imscalingMode=aspectFit,https://img.coupangstreaming.com/titles/c4e8d0c4-2063-4eec-8e44-add302b3e2ab/background/5dc909cd-459e-4408-b564-c28e71a640d5.jpeg?imwidth=350&imscalingMode=aspectFit,https://www.coupangplay.com/titles/08bbb644-cdb7-47ac-84f6-c5510fa5745c?type=TVSHOW&availability=SVOD&live=&channel=&rowId=c8c71149-4c7a-41df-b412-0431658460e4&trackId=&src=page_discover_feed%3ATOP-TITLES%3ATVSHOWS&sourceType=&supportLive=
